# rank	score	word	reasons
1	-6.43	leat	common5-fragment,plain-shape
2	-6.48	rine	common5-fragment,plain-shape
3	-6.49	ared	common5-fragment,plain-shape
4	-6.58	ates	common5-fragment,plain-shape,s-form
5	-6.69	rane	common5-fragment,plain-shape
6	-6.81	tare	common5-fragment,plain-shape
7	-6.93	anes	common5-fragment,plain-shape,s-form
8	-7.00	rone	common5-fragment,plain-shape
9	-7.15	rase	common5-fragment,plain-shape
10	-7.23	aile	common5-fragment
11	-7.23	lain	common5-fragment,plain-shape
12	-7.27	hale	common5-fragment,plain-shape
13	-7.32	ague	hint,common5-fragment
14	-7.52	roun	common5-fragment,plain-shape
15	-7.52	rais	common5-fragment,plain-shape,s-form
16	-7.60	crea	common5-fragment,plain-shape
17	-7.62	lant	common5-fragment,plain-shape
18	-7.66	ides	common5-fragment,plain-shape,s-form
19	-7.68	leam	common5-fragment,plain-shape
20	-7.71	eros	common5-fragment,plain-shape,s-form
21	-7.72	rier	common5-fragment,plain-shape
22	-7.72	gist	hint,plain-shape
23	-7.72	tars	common5-fragment,plain-shape,s-form
24	-7.76	aint	common5-fragment,plain-shape
25	-7.77	reak	common5-fragment,plain-shape
26	-7.79	cran	common5-fragment,plain-shape
27	-7.79	rist	common5-fragment,plain-shape
28	-7.81	rame	common5-fragment,plain-shape
29	-7.87	weld	hint,plain-shape
30	-7.91	peri	common5-fragment,plain-shape
31	-7.93	aper	common5-fragment,plain-shape
32	-7.93	rite	common5-fragment,plain-shape
33	-7.96	ling	common5-fragment,plain-shape
34	-7.99	lade	common5-fragment,plain-shape
35	-8.04	blas	common5-fragment,plain-shape,s-form
36	-8.05	oast	common5-fragment,plain-shape
37	-8.05	reen	common5-fragment
38	-8.09	sine	common5-fragment,plain-shape
39	-8.10	lees	common5-fragment,s-form
40	-8.12	lora	common5-fragment,plain-shape
41	-8.14	lite	common5-fragment,plain-shape
42	-8.18	amid	hint,plain-shape
43	-8.19	twig	hint,common5-fragment,plain-shape
44	-8.21	aria	hint
45	-8.26	hing	common5-fragment,plain-shape
46	-8.26	lour	common5-fragment,plain-shape
47	-8.29	tead	common5-fragment,plain-shape
48	-8.35	pent	common5-fragment,plain-shape
49	-8.37	reet	common5-fragment
50	-8.38	teer	common5-fragment
51	-8.39	bast	common5-fragment,plain-shape
52	-8.41	flan	common5-fragment,plain-shape
53	-8.43	kilo	hint,plain-shape
54	-8.46	mite	common5-fragment,plain-shape
55	-8.46	shea	common5-fragment,plain-shape
56	-8.49	oust	common5-fragment,plain-shape
57	-8.52	gris	common5-fragment,plain-shape,s-form
58	-8.53	cora	common5-fragment,plain-shape
59	-8.56	hush	hint,plain-shape
60	-8.58	tain	common5-fragment,plain-shape
61	-8.59	leed	common5-fragment
62	-8.61	chal	common5-fragment,plain-shape
63	-8.61	tort	common5-fragment,plain-shape
64	-8.62	eral	common5-fragment,plain-shape
65	-8.62	cate	common5-fragment,plain-shape
66	-8.63	rath	common5-fragment,plain-shape
67	-8.64	brew	hint,plain-shape
68	-8.66	tole	common5-fragment,plain-shape
69	-8.66	hest	common5-fragment,plain-shape
70	-8.67	mang	common5-fragment,plain-shape
71	-8.67	blan	common5-fragment,plain-shape
72	-8.70	grat	common5-fragment,plain-shape
73	-8.71	heer	common5-fragment
74	-8.72	aire	common5-fragment
75	-8.74	resh	common5-fragment,plain-shape
76	-8.75	lout	common5-fragment,plain-shape
77	-8.75	inde	common5-fragment,plain-shape
78	-8.75	wane	common5-fragment,plain-shape
79	-8.76	omer	common5-fragment,plain-shape
80	-8.78	bate	common5-fragment,plain-shape
81	-8.79	gros	common5-fragment,plain-shape,s-form
82	-8.79	seer	common5-fragment
83	-8.80	lier	common5-fragment,plain-shape
84	-8.80	brin	common5-fragment,plain-shape
85	-8.81	wile	common5-fragment,plain-shape
86	-8.81	shor	common5-fragment,plain-shape
87	-8.83	oint	common5-fragment,plain-shape
88	-8.84	shan	common5-fragment,plain-shape
89	-8.85	lark	common5-fragment,plain-shape
90	-8.86	lank	common5-fragment,plain-shape
91	-8.87	lath	common5-fragment,plain-shape
92	-8.88	nast	common5-fragment,plain-shape
93	-8.88	skit	hint,plain-shape
94	-8.89	hind	common5-fragment,plain-shape
95	-8.90	neer	common5-fragment
96	-8.91	pend	common5-fragment,plain-shape
97	-8.91	sher	common5-fragment,plain-shape
98	-8.92	hain	common5-fragment,plain-shape
99	-8.92	dent	common5-fragment,plain-shape
100	-8.95	maze	hint,common5-fragment,plain-shape,rare-letter
101	-8.95	chin	common5-fragment,plain-shape
102	-8.98	ting	common5-fragment,plain-shape
103	-9.01	hone	common5-fragment,plain-shape
104	-9.02	hant	common5-fragment,plain-shape
105	-9.03	mone	common5-fragment,plain-shape
106	-9.04	sate	common5-fragment,plain-shape
